BIO,DAP,ALT,DDF,CTF
329.970,20.370,14.900,0.356,56.333
248.380,16.710,13.000,0.328,39.944
203.860,7.670,6.010,0.361,32.982
59.760,6.120,5.890,0.363,9.390
129.560,13.050,7.900,0.346,20.587
64.100,10.420,8.030,0.331,10.230
324.790,23.070,13.450,0.635,83.832
578.940,25.300,16.780,0.282,86.059
319.110,22.040,13.980,0.435,62.850
466.160,24.820,16.050,0.317,75.037
695.880,29.280,19.250,0.399,132.101
779.230,32.150,19.120,0.378,142.472
237.890,18.720,14.020,0.314,36.060
882.710,31.830,21.020,0.409,165.801
645.400,26.890,20.250,0.383,115.438
643.420,35.010,15.420,0.329,97.774
903.670,32.560,16.050,0.366,156.269
60.560,9.710,8.420,0.327,9.172
20.870,6.430,7.460,0.407,3.520
131.110,14.640,10.640,0.334,20.484
