TF,AP,CS,PF,RE
30,91,14,47.18,1.42
20,110,13,54.48,1.09
65,122,12,64.96,2.22
12,85,12,67.29,0.68
53,100,13,60.84,1.22
27,105,16,55.89,1.81
39,93,15,50.09,1.95
57,115,12,53.39,2.04
46,132,14.2,53.3,2.45
55,128,12,37.97,2.09
35,146,15,44.63,1.56
35,135,14,42.61,1.49
51,132,13,51.31,2.62
19,122,13,57.35,1.09
64,113,13,61.32,2.92
50,111,16,58.88,2.94
29,109,13,67.38,1.95
119,120,17,26.06,3.4
78,85,16.8,31.22,2.44
82,108,15,43.04,3.53
100,112,15,16.02,3.1
91,100,16,24.4,4.04
33,120,14,43.27,1.43
60,100,14,39.59,2.38
44,98,10.6,42.52,1.87
50,121,14,32.32,1.62
61,100,14,42.49,2.59
108,111,14,29.71,3.37
63,94,15,36.32,2.29
120,88,15,18.13,3.8
68,115,13,41.03,2.79
