ID,TRAT,CTRAS1,CTRAS2,CTRAS3,CTRAS4,CTRAS5,BLO,FP
1,TTO,5,0,0,0,0,I,493.6
2,TTO,5,0,0,0,0,II,515.9
3,TTO,5,0,0,0,0,III,651.2
4,TTO,5,0,0,0,0,IV,692.1
5,FO3B,-1,-1,3,0,0,I,674.6
6,FO3B,-1,-1,3,0,0,II,465.7
7,FO3B,-1,-1,3,0,0,III,619.9
8,FO3B,-1,-1,3,0,0,IV,521.3
9,FGC,-1,4,0,0,0,I,715.9
10,FGC,-1,4,0,0,0,II,554.6
11,FGC,-1,4,0,0,0,III,812.8
12,FGC,-1,4,0,0,0,IV,586.6
13,F50P,-1,-1,-1,-1,1,I,941.3
14,F50P,-1,-1,-1,-1,1,II,836.7
15,F50P,-1,-1,-1,-1,1,III,991
16,F50P,-1,-1,-1,-1,1,IV,823.5
17,F25P,-1,-1,-1,2,0,I,967.4
18,F25P,-1,-1,-1,2,0,II,517.9
19,F25P,-1,-1,-1,2,0,III,789.7
20,F25P,-1,-1,-1,2,0,IV,736.3
21,F100P,-1,-1,-1,-1,-1,I,906.8
22,F100P,-1,-1,-1,-1,-1,II,737.3
23,F100P,-1,-1,-1,-1,-1,III,700.2
24,F100P,-1,-1,-1,-1,-1,IV,772.4
