TRAT,CTRAS1,CTRAS2,CTRAS3,CTRAS4,BLO,EDC,NLV
IT0.2,4,0,0,0,I,80,1
IT0.2,4,0,0,0,II,100,0
IT0.2,4,0,0,0,III,60,2
IT0.2,4,0,0,0,IV,100,0
IT0.2,4,0,0,0,V,80,1
MT15,-1,1,1,0,I,0,5
MT15,-1,1,1,0,II,20,4
MT15,-1,1,1,0,III,0,5
MT15,-1,1,1,0,IV,40,3
MT15,-1,1,1,0,V,20,4
MT20,-1,1,-1,0,I,40,3
MT20,-1,1,-1,0,II,40,3
MT20,-1,1,-1,0,III,20,4
MT20,-1,1,-1,0,IV,40,3
MT20,-1,1,-1,0,V,0,5
MT25,-1,-1,0,1,I,100,0
MT25,-1,-1,0,1,II,80,1
MT25,-1,-1,0,1,III,60,2
MT25,-1,-1,0,1,IV,80,1
MT25,-1,-1,0,1,V,60,2
MT30,-1,-1,0,-1,I,80,1
MT30,-1,-1,0,-1,II,80,1
MT30,-1,-1,0,-1,III,100,0
MT30,-1,-1,0,-1,IV,80,1
MT30,-1,-1,0,-1,V,80,1
